CVE_ZM,NOM_ZM,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_2015,MC ,CF ,DIST_CC,TRAB_MUN,TRAB_MC,TRAB_OM,RES_MUN,RES_MC,RES_OM,POB_OANA,DMU_2010,DZC_ZM,PZC_ZM,PNDU,TIPO_MUN
01.01,Aguascalientes,01,Aguascalientes,01001,Aguascalientes,877190,1,1,0.0,95.9,0.9,3.2,89.1,4.4,6.5,98.2,108.2,1,1,1,1
01.01,Aguascalientes,01,Aguascalientes,01005,Jesús María,120405,1,1,0.0,58.3,34.9,6.8,83.0,9.7,7.3,94.7,75.0,1,1,1,1
01.01,Aguascalientes,01,Aguascalientes,01011,San Francisco de los Romo,46454,0,0,13.2,63.9,31.4,4.7,48.8,23.6,27.7,92.9,83.3,1,1,1,2
02.01,Ensenada,02,Baja California,02001,Ensenada,486639,1,0,0.0,99.5,0.0,0.5,99.3,0.0,0.7,82.6,54.3,n.a.,0,1,1
02.02,Mexicali,02,Baja California,02002,Mexicali,988417,1,0,0.0,99.4,0.0,0.6,99.0,0.0,1.0,93.2,59.3,n.a.,1,1,1
02.03,Tijuana,02,Baja California,02003,Tecate,102406,0,0,21.6,96.9,2.6,0.6,95.3,3.8,0.9,96.3,47.4,1,1,1,3
02.03,Tijuana,02,Baja California,02004,Tijuana,1641570,1,0,0.0,99.0,0.0,1.0,98.7,0.0,1.3,99.6,89.3,1,1,1,1
02.03,Tijuana,02,Baja California,02005,Playas de Rosarito,96734,0,0,2.5,86.2,12.8,0.9,90.8,8.8,0.4,96.9,38.4,1,1,1,2
03.01,La Paz,03,Baja California Sur,03003,La Paz,272711,1,0,0.0,98.8,0.0,1.2,98.8,0.0,1.2,95.9,60.4,n.a.,1,1,1
04.01,Campeche,04,Campeche,04002,Campeche,283025,1,0,0.0,96.8,0.0,3.2,91.3,0.0,8.7,94.7,69.3,1,1,1,1
05.01,La Laguna,05,Coahuila de Zaragoza,05009,Francisco I. Madero,58360,0,0,16.0,77.5,17.7,4.7,89.2,3.6,7.3,81.0,46.3,0,1,1,3
05.01,La Laguna,05,Coahuila de Zaragoza,05017,Matamoros,108950,1,1,0.0,62.2,34.3,3.5,92.7,4.1,3.2,82.7,58.8,0,1,1,1
05.01,La Laguna,05,Coahuila de Zaragoza,05035,Torreón,679288,1,1,0.0,92.9,4.9,2.2,86.1,10.9,3.0,98.3,81.3,0,1,1,1
05.01,La Laguna,10,Durango,10007,Gómez Palacio,342286,1,1,0.0,85.2,13.5,1.3,81.0,17.3,1.6,91.2,82.2,0,1,1,1
05.01,La Laguna,10,Durango,10012,Lerdo,153311,1,1,0.0,65.6,31.9,2.6,86.7,12.1,1.2,91.0,52.6,0,1,1,1
05.02,Monclova-Frontera,05,Coahuila de Zaragoza,05006,Casta±os,28068,0,0,2.5,67.9,30.4,1.7,80.7,17.9,1.4,96.0,28.2,0,1,1,2
05.02,Monclova-Frontera,05,Coahuila de Zaragoza,05010,Frontera,80991,1,1,0.0,74.1,23.4,2.4,70.2,17.4,12.4,99.2,56.6,0,1,1,1
